                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                  1.061,                0.82749,                  1.231,                 0.9062,                0.83607,                0.91956,                 0.6061,                 1.1775,                0.81582,                 1.3507,              0.0016964,              0.0016964,              0.0016964
                     49,                 1.0669,                0.81521,                 1.2337,                0.91194,                0.80769,                0.90637,                0.60502,                 1.1869,                0.76342,                 1.3786,              0.0016898,              0.0016898,              0.0016898
                     50,                 1.0249,                0.79002,                 1.2092,                0.88161,                0.88462,                0.93485,                 0.6426,                 1.1085,                0.79757,                  1.342,              0.0016832,              0.0016832,              0.0016832
                     51,                 1.0295,                0.80046,                 1.2311,                0.89635,                0.84615,                0.92644,                0.64917,                 1.0992,                0.75919,                 1.2992,              0.0016766,              0.0016766,              0.0016766
                     52,                 1.0532,                 0.7878,                 1.2284,                0.96761,                0.86538,                0.95676,                0.63393,                 1.2495,                0.68865,                  1.459,                0.00167,                0.00167,                0.00167
                     53,                 1.0212,                0.77401,                  1.211,                0.90397,                0.86538,                0.94087,                0.62455,                 1.1741,                0.74791,                 1.3956,              0.0016634,              0.0016634,              0.0016634
                     54,                 1.0056,                0.77052,                 1.1799,                0.89746,                0.85577,                0.92201,                0.65091,                   1.16,                0.64258,                 1.3781,              0.0016568,              0.0016568,              0.0016568
                     55,                0.98468,                0.74923,                 1.1814,                0.88453,                0.88386,                0.93075,                0.64927,                 1.1693,                0.75785,                 1.3864,              0.0016502,              0.0016502,              0.0016502
                     56,                 1.0068,                0.78954,                  1.189,                0.89766,                  0.875,                  0.924,                0.63867,                 1.2137,                0.69013,                 1.4632,              0.0016436,              0.0016436,              0.0016436
                     57,                 1.0051,                0.74915,                  1.189,                  0.917,                0.84992,                0.91611,                0.60845,                 1.1799,                  0.714,                 1.3958,               0.001637,               0.001637,               0.001637
                     58,                0.99267,                0.72961,                 1.1842,                0.92371,                0.81496,                0.91592,                0.61526,                 1.2074,                0.73236,                 1.4265,              0.0016304,              0.0016304,              0.0016304
                     59,                0.99626,                0.76073,                 1.1888,                0.95065,                0.92621,                0.95817,                0.65603,                 1.1291,                0.73265,                 1.3412,              0.0016238,              0.0016238,              0.0016238
                     60,                0.96226,                0.71761,                 1.1607,                0.93975,                0.89989,                0.94888,                0.66005,                 1.1276,                0.69156,                 1.3854,              0.0016172,              0.0016172,              0.0016172
                     61,                0.95593,                0.71489,                 1.1744,                 0.9168,                  0.875,                0.93844,                0.66047,                 1.0594,                0.69576,                  1.329,              0.0016106,              0.0016106,              0.0016106
                     62,                0.95223,                0.73628,                 1.1688,                0.88648,                0.90108,                0.93672,                0.64496,                 1.1272,                0.68177,                 1.3774,               0.001604,               0.001604,               0.001604
                     63,                0.95518,                0.71996,                 1.1564,                0.90907,                0.86513,                0.92918,                0.61551,                 1.1805,                0.75266,                 1.4198,              0.0015974,              0.0015974,              0.0015974
                     64,                0.94618,                0.69889,                  1.183,                0.89209,                0.80769,                 0.9073,                0.59429,                 1.2254,                0.73441,                 1.4671,              0.0015908,              0.0015908,              0.0015908
                     65,                0.94913,                0.71075,                  1.153,                0.93793,                0.87175,                0.93819,                0.65493,                 1.1222,                0.63926,                 1.3629,              0.0015842,              0.0015842,              0.0015842
                     66,                0.92335,                0.69355,                 1.1492,                0.90798,                 0.9488,                0.95523,                0.65983,                 1.1721,                0.62546,                 1.4147,              0.0015776,              0.0015776,              0.0015776
                     67,                0.90893,                0.64264,                 1.1396,                0.90428,                0.94231,                0.95833,                0.64956,                 1.1182,                0.63569,                 1.3874,               0.001571,               0.001571,               0.001571
                     68,                0.90309,                0.67885,                 1.1311,                0.93539,                0.89423,                0.96651,                0.66774,                 1.1457,                0.67677,                 1.3902,              0.0015644,              0.0015644,              0.0015644
                     69,                0.93306,                0.69198,                 1.1428,                0.94607,                0.91346,                0.95453,                0.67078,                 1.1104,                0.66896,                 1.3156,              0.0015578,              0.0015578,              0.0015578
                     70,                 0.9166,                0.66802,                 1.1431,                0.93596,                0.89423,                0.95182,                0.65353,                 1.1049,                0.69647,                 1.3104,              0.0015512,              0.0015512,              0.0015512
                     71,                 0.9284,                0.67097,                 1.1372,                0.90871,                0.86538,                0.94717,                0.68491,                 1.0404,                0.65605,                 1.2936,              0.0015446,              0.0015446,              0.0015446
                     72,                0.86044,                0.64679,                 1.1235,                0.93648,                0.85577,                0.95125,                0.65461,                  1.199,                0.66506,                 1.4501,               0.001538,               0.001538,               0.001538
                     73,                0.90772,                0.63048,                 1.1403,                0.90828,                0.86538,                 0.9251,                0.64365,                 1.1631,                0.64524,                 1.4154,              0.0015314,              0.0015314,              0.0015314
                     74,                0.90542,                0.68066,                  1.131,                0.93923,                0.89162,                0.95412,                0.66655,                  1.073,                0.60861,                 1.3558,              0.0015248,              0.0015248,              0.0015248
                     75,                0.92552,                0.68434,                 1.1516,                0.92323,                0.92511,                0.95374,                0.66984,                 1.0446,                0.64888,                 1.2961,              0.0015182,              0.0015182,              0.0015182
                     76,                 0.8742,                0.64505,                 1.1237,                0.88731,                0.90851,                0.95215,                0.66498,                 1.1081,                0.65637,                 1.3655,              0.0015116,              0.0015116,              0.0015116
                     77,                0.88103,                0.66155,                  1.125,                0.90818,                0.82692,                0.93085,                0.64886,                 1.1099,                0.74583,                 1.3474,               0.001505,               0.001505,               0.001505
                     78,                0.89633,                0.64495,                 1.1349,                0.80781,                0.88915,                0.91385,                0.63165,                 1.0776,                0.74388,                 1.3537,              0.0014984,              0.0014984,              0.0014984
                     79,                0.89576,                0.64104,                 1.1201,                 0.9478,                0.87289,                0.94338,                0.67611,                  1.099,                0.62206,                 1.3396,              0.0014918,              0.0014918,              0.0014918
                     80,                0.83937,                0.59441,                 1.0914,                0.91946,                0.91346,                0.96035,                0.67136,                 1.1029,                0.66719,                 1.3363,              0.0014852,              0.0014852,              0.0014852
                     81,                0.86224,                0.62486,                 1.1304,                0.94926,                0.89939,                0.95473,                0.67674,                 1.0748,                0.63373,                 1.3402,              0.0014786,              0.0014786,              0.0014786
                     82,                0.83288,                0.62091,                 1.1029,                0.95789,                0.87493,                0.95008,                0.67035,                  1.058,                0.63088,                 1.3431,               0.001472,               0.001472,               0.001472
                     83,                0.83986,                0.59829,                 1.0934,                0.87881,                0.89423,                0.95256,                0.65882,                 1.1814,                0.63406,                 1.4069,              0.0014654,              0.0014654,              0.0014654
                     84,                  0.845,                0.59164,                 1.1159,                 0.9472,                0.86256,                0.94503,                 0.6706,                 1.0787,                0.59935,                 1.3685,              0.0014588,              0.0014588,              0.0014588
                     85,                0.84173,                0.58749,                 1.0878,                0.92803,                0.86796,                0.96764,                0.67772,                 1.0778,                0.58323,                 1.3801,              0.0014522,              0.0014522,              0.0014522
